Dates:,CA,TX,FL,NY,PA,IL,OH,GA,NC,MI,NJ,VA,WA,AZ,MA,TN,IN,MO,MD,WI,CO,MN,SC,AL,LA,KY,OR,OK,CT,UT,PR,IA,NV,AR,MS,KS,NM,NE,WV,ID,HI,NH,ME,MT,RI,DE,SD,ND,AK,DC,VT,WY
142,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
143,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
144,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
145,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
146,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
147,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
148,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
149,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
150,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
151,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
152,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
153,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
154,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
155,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
156,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
157,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
158,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
159,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
160,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
161,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
162,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
163,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
164,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
165,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
166,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
167,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
168,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
169,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
170,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
171,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
172,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
173,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
174,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
175,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
176,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
177,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
178,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
179,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
180,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
181,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
182,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
